op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
LOGISTIC,916,672.0,0.0011239287,-2.666281e-05,0.0019199107,1.2657334e-06,0.00390625,-128,model/tf.math.sigmoid_39/Sigmoid,0.288012333247033
MUL,1192,56448.0,0.05047718,0.022300772,0.09161615,0.0030454728,0.19166797,-127,model/tf.math.multiply_167/Mul,0.2879239683188878
ADD,1168,9408.0,0.18079317,-9.6216754e-05,0.3107275,0.03268986,0.62816244,-43,model/tf.math.add_85/Add,0.2878290110155678
LOGISTIC,728,20.0,0.0010701653,0.00021981838,0.0018095882,1.2641016e-06,0.00390625,-128,model/tf.math.sigmoid_26/Sigmoid,0.2878266187439932
CONV_2D,516,451584.0,0.12601021,0.000742105,0.35741997,0.015879288,0.4381426,-7,model/tf.math.add_17/Add;model/tf.nn.convolution_12/convolution;Const_1361,0.2876073838598679
ADD,928,21952.0,0.11221733,-1.0345361e-05,0.19075459,0.012593553,0.39022756,10,model/tf.math.add_59/Add,0.2875783573779965
PAD,336,153228.0,0.0053557116,-1.3837042e-05,0.009322823,2.8775132e-05,0.018658448,-14,model/tf.compat.v1.pad/Pad,0.287496886478855
MUL,660,47040.0,0.042923216,-0.0032030987,0.074178316,0.0018529106,0.14981064,-126,model/tf.math.multiply_62/Mul,0.28733238223440677
CONV_2D,1036,672.0,0.005933051,-0.00027161278,0.010474253,3.529086e-05,0.02068164,-28,model/tf.math.add_70/Add;model/tf.nn.convolution_46/convolution;Const_471,0.287240812608603
LOGISTIC,1144,48.0,0.0011083232,-1.0069763e-06,0.0018830822,1.2566015e-06,0.00390625,-128,model/tf.math.sigmoid_54/Sigmoid,0.2869714897058591
DEPTHWISE_CONV_2D,412,301056.0,0.61471635,-0.029231781,1.7503363,0.37882447,2.1461723,2,model/tf.math.add_6/Add;model/tf.compat.v1.nn.depthwise_conv2d_1/depthwise;Const_1541,0.28678367576547503
FULLY_CONNECTED,1312,4.0,0.022832206,0.00047357552,0.03860589,0.0007724307,0.096941285,-41,PartitionedCall:0,0.2866955757217067
